Net,Total Net Load,Static Prob.,Toggle rate,Switching Power,Class,RC
and1,0.243,0.521,0.0754,0.0045,0,4.58E-03
AO,1.203,0.564,0.3009,0.0887,0,1.12E-01
CO,0.243,0.269,0.0752,0.0045,0,4.58E-03
G1001,1.203,0.016,0.0535,0.0158,0,1.12E-01
G1006,1.203,0.016,0.0539,0.0159,0,1.12E-01
G1011,1.203,0.016,0.0521,0.0154,0,1.12E-01
G1016,1.203,0.016,0.0531,0.0156,0,1.12E-01
G1021,1.203,0.016,0.0527,0.0155,0,1.12E-01
G1026,1.203,0.016,0.053,0.0156,0,1.12E-01
G1031,1.203,0.016,0.0551,0.0162,0,1.12E-01
G1036,0.544,0.004,0.0149,0.002,0,2.29E-02
G1039,0.544,0.004,0.0139,0.0018,0,2.29E-02
G1042,0.544,0.004,0.0142,0.0019,0,2.29E-02
G1045,0.544,0.004,0.0135,0.0018,0,2.29E-02
G1048,0.544,0.004,0.0131,0.0017,0,2.29E-02
G1051,0.544,0.004,0.0125,0.0017,0,2.29E-02
G1054,0.544,0.004,0.0146,0.0019,0,2.29E-02
G1057,0.544,0.004,0.0139,0.0019,0,2.29E-02
G1060,0.544,0.004,0.0135,0.0018,0,2.29E-02
G1063,0.544,0.004,0.0141,0.0019,0,2.29E-02
G1066,0.544,0.004,0.0137,0.0018,0,2.29E-02
G1069,0.544,0.004,0.0134,0.0018,0,2.29E-02
G1072,0.544,0.004,0.012,0.0016,0,2.29E-02
G1075,0.544,0.004,0.0132,0.0018,0,2.29E-02
G1078,0.544,0.004,0.0144,0.0019,0,2.29E-02
G1081,0.544,0.004,0.0129,0.0017,0,2.29E-02
G1084,0.544,0.004,0.0141,0.0019,0,2.29E-02
G1087,0.544,0.004,0.0133,0.0018,0,2.29E-02
G1090,0.544,0.004,0.0135,0.0018,0,2.29E-02
G1093,0.544,0.004,0.0132,0.0018,0,2.29E-02
G1096,0.544,0.004,0.0141,0.0019,0,2.29E-02
G1099,0.544,0.004,0.0136,0.0018,0,2.29E-02
G1102,0.544,0.004,0.0132,0.0018,0,2.29E-02
G1105,0.544,0.004,0.0124,0.0017,0,2.29E-02
G1108,0.544,0.004,0.0134,0.0018,0,2.29E-02
G1111,0.544,0.004,0.0135,0.0018,0,2.29E-02
G1114,0.544,0.004,0.0125,0.0017,0,2.29E-02
G1117,0.544,0.004,0.0148,0.002,0,2.29E-02
G1120,0.544,0.004,0.014,0.0019,0,2.29E-02
G1123,0.544,0.004,0.0134,0.0018,0,2.29E-02
G1126,0.544,0.004,0.0142,0.0019,0,2.29E-02
G1129,0.544,0.004,0.0144,0.0019,0,2.29E-02
G1132,0.544,0.998,0.0069,0.0009,0,2.29E-02
G1135,0.544,0.998,0.0071,0.0009,0,2.29E-02
G1138,0.544,0.998,0.0063,0.0008,0,2.29E-02
G1141,0.544,0.998,0.007,0.0009,0,2.29E-02
G1144,0.544,0.998,0.0066,0.0009,0,2.29E-02
G1147,0.544,0.998,0.0067,0.0009,0,2.29E-02
G1150,0.544,0.998,0.0079,0.0011,0,2.29E-02
G1153,0.544,0.998,0.0073,0.001,0,2.29E-02
G1156,0.544,0.998,0.0064,0.0009,0,2.29E-02
G1159,0.544,0.998,0.0067,0.0009,0,2.29E-02
G1162,0.544,0.998,0.0072,0.001,0,2.29E-02
G1165,0.544,0.998,0.0067,0.0009,0,2.29E-02
G1168,0.544,0.998,0.0056,0.0007,0,2.29E-02
G1171,0.544,0.998,0.0068,0.0009,0,2.29E-02
G1174,0.544,0.998,0.0061,0.0008,0,2.29E-02
G1177,0.544,0.998,0.0064,0.0009,0,2.29E-02
G1180,0.544,0.998,0.007,0.0009,0,2.29E-02
G1183,0.544,0.998,0.0079,0.001,0,2.29E-02
G1186,0.544,0.998,0.0067,0.0009,0,2.29E-02
G1189,0.544,0.998,0.007,0.0009,0,2.29E-02
G1192,0.544,0.998,0.0071,0.001,0,2.29E-02
G1195,0.544,0.998,0.0068,0.0009,0,2.29E-02
G1198,0.544,0.998,0.0055,0.0007,0,2.29E-02
G1201,0.544,0.998,0.0071,0.0009,0,2.29E-02
G1204,0.544,0.998,0.0067,0.0009,0,2.29E-02
G1207,0.544,0.998,0.0068,0.0009,0,2.29E-02
G1210,0.544,0.998,0.0062,0.0008,0,2.29E-02
G1213,0.544,0.998,0.008,0.0011,0,2.29E-02
G1216,0.544,0.998,0.0064,0.0009,0,2.29E-02
G1219,0.544,0.998,0.0057,0.0008,0,2.29E-02
G1222,0.544,0.998,0.0075,0.001,0,2.29E-02
G1225,0.544,0.998,0.0081,0.0011,0,2.29E-02
G1228,0.243,0.491,0.1051,0.0063,0,4.58E-03
G1229,0.243,0.998,0.008,0.0005,0,4.58E-03
G1230,0.243,0.505,0.1069,0.0064,0,4.58E-03
G1231,0.243,0.998,0.0068,0.0004,0,4.58E-03
G1232,0.243,0.509,0.1065,0.0063,0,4.58E-03
G1233,0.243,0.998,0.0079,0.0005,0,4.58E-03
G1234,0.243,0.507,0.106,0.0063,0,4.58E-03
G1235,0.243,0.998,0.0066,0.0004,0,4.58E-03
G1236,0.243,0.496,0.106,0.0063,0,4.58E-03
G1237,0.243,0.998,0.0065,0.0004,0,4.58E-03
G1238,0.243,0.502,0.1066,0.0064,0,4.58E-03
G1239,0.243,0.998,0.0059,0.0004,0,4.58E-03
G1240,0.243,0.506,0.1059,0.0063,0,4.58E-03
G1241,0.243,0.998,0.0067,0.0004,0,4.58E-03
G1242,0.243,0.506,0.1078,0.0064,0,4.58E-03
G1243,0.243,0.998,0.0067,0.0004,0,4.58E-03
G1244,0.243,0.505,0.1057,0.0063,0,4.58E-03
G1245,0.243,0.998,0.0071,0.0004,0,4.58E-03
G1246,0.243,0.514,0.1057,0.0063,0,4.58E-03
G1247,0.243,0.998,0.0074,0.0004,0,4.58E-03
G1248,0.243,0.499,0.1072,0.0064,0,4.58E-03
G1249,0.243,0.998,0.0065,0.0004,0,4.58E-03
G1250,0.243,0.512,0.1053,0.0063,0,4.58E-03
G1251,0.243,0.998,0.0068,0.0004,0,4.58E-03
G1252,0.243,0.491,0.1033,0.0062,0,4.58E-03
G1253,0.243,0.998,0.0063,0.0004,0,4.58E-03
G1254,0.243,0.504,0.1069,0.0064,0,4.58E-03
G1255,0.243,0.998,0.0065,0.0004,0,4.58E-03
G1256,0.243,0.505,0.1038,0.0062,0,4.58E-03
G1257,0.243,0.997,0.0083,0.0005,0,4.58E-03
G1258,0.243,0.507,0.1031,0.0061,0,4.58E-03
G1259,0.243,0.998,0.0065,0.0004,0,4.58E-03
G1260,0.243,0.507,0.1046,0.0062,0,4.58E-03
G1261,0.243,0.998,0.0071,0.0004,0,4.58E-03
G1262,0.243,0.505,0.1064,0.0063,0,4.58E-03
G1263,0.243,0.998,0.0054,0.0003,0,4.58E-03
G1264,0.243,0.494,0.1069,0.0064,0,4.58E-03
G1265,0.243,0.998,0.0068,0.0004,0,4.58E-03
G1266,0.243,0.506,0.1071,0.0064,0,4.58E-03
G1267,0.243,0.998,0.0062,0.0004,0,4.58E-03
G1268,0.243,0.508,0.1063,0.0063,0,4.58E-03
G1269,0.243,0.998,0.007,0.0004,0,4.58E-03
G1270,0.243,0.489,0.1043,0.0062,0,4.58E-03
G1271,0.243,0.998,0.0068,0.0004,0,4.58E-03
G1272,0.243,0.506,0.1023,0.0061,0,4.58E-03
G1273,0.243,0.998,0.0077,0.0005,0,4.58E-03
G1274,0.243,0.495,0.1107,0.0066,0,4.58E-03
G1275,0.243,0.998,0.0053,0.0003,0,4.58E-03
G1276,0.243,0.498,0.1044,0.0062,0,4.58E-03
G1277,0.243,0.998,0.0067,0.0004,0,4.58E-03
G1278,0.243,0.495,0.1044,0.0062,0,4.58E-03
G1279,0.243,0.998,0.0067,0.0004,0,4.58E-03
G1280,0.243,0.519,0.1067,0.0064,0,4.58E-03
G1281,0.243,0.998,0.0063,0.0004,0,4.58E-03
G1282,0.243,0.503,0.107,0.0064,0,4.58E-03
G1283,0.243,0.998,0.0068,0.0004,0,4.58E-03
G1284,0.243,0.493,0.1057,0.0063,0,4.58E-03
G1285,0.243,0.998,0.0076,0.0005,0,4.58E-03
G1286,0.243,0.502,0.1071,0.0064,0,4.58E-03
G1287,0.243,0.998,0.0077,0.0005,0,4.58E-03
G1288,0.243,0.509,0.1051,0.0063,0,4.58E-03
G1289,0.243,0.998,0.0067,0.0004,0,4.58E-03
G1290,0.243,0.496,0.1082,0.0064,0,4.58E-03
G1291,0.243,0.998,0.0063,0.0004,0,4.58E-03
G1292,0.243,0.512,0.1121,0.0067,0,4.58E-03
G1293,0.243,0.497,0.1131,0.0067,0,4.58E-03
G1294,0.243,0.493,0.1136,0.0068,0,4.58E-03
G1295,0.243,0.495,0.1119,0.0067,0,4.58E-03
G1296,0.243,0.506,0.1114,0.0066,0,4.58E-03
G1297,0.243,0.5,0.1117,0.0067,0,4.58E-03
G1298,0.243,0.496,0.112,0.0067,0,4.58E-03
G1299,0.243,0.496,0.1135,0.0068,0,4.58E-03
G1300,0.243,0.497,0.1117,0.0067,0,4.58E-03
G1301,0.243,0.488,0.1125,0.0067,0,4.58E-03
G1302,0.243,0.503,0.113,0.0067,0,4.58E-03
G1303,0.243,0.49,0.1107,0.0066,0,4.58E-03
G1304,0.243,0.511,0.1089,0.0065,0,4.58E-03
G1305,0.243,0.498,0.1126,0.0067,0,4.58E-03
G1306,0.243,0.497,0.1115,0.0066,0,4.58E-03
G1307,0.243,0.495,0.1089,0.0065,0,4.58E-03
G1308,0.243,0.495,0.111,0.0066,0,4.58E-03
G1309,0.243,0.496,0.1111,0.0066,0,4.58E-03
G1310,0.243,0.508,0.1129,0.0067,0,4.58E-03
G1311,0.243,0.496,0.1124,0.0067,0,4.58E-03
G1312,0.243,0.494,0.1124,0.0067,0,4.58E-03
G1313,0.243,0.513,0.1105,0.0066,0,4.58E-03
G1314,0.243,0.497,0.1088,0.0065,0,4.58E-03
G1315,0.243,0.506,0.1152,0.0069,0,4.58E-03
G1316,0.243,0.504,0.1105,0.0066,0,4.58E-03
G1317,0.243,0.507,0.1105,0.0066,0,4.58E-03
G1318,0.243,0.483,0.1122,0.0067,0,4.58E-03
G1319,0.243,0.499,0.1133,0.0068,0,4.58E-03
G1320,0.243,0.509,0.1123,0.0067,0,4.58E-03
G1321,0.243,0.5,0.1139,0.0068,0,4.58E-03
G1322,0.243,0.493,0.1109,0.0066,0,4.58E-03
G1323,0.243,0.506,0.1136,0.0068,0,4.58E-03
G1324,0.243,0.488,0.1121,0.0067,1,4.58E-03
G1325,0.243,0.503,0.1131,0.0067,1,4.58E-03
G1326,0.243,0.507,0.1136,0.0068,1,4.58E-03
G1327,0.243,0.505,0.1119,0.0067,1,4.58E-03
G1328,0.243,0.5,0.1794,0.0107,1,2.29E-02
G1329,0.243,0.5,0.1117,0.0067,1,4.58E-03
G1330,0.243,0.504,0.112,0.0067,1,4.58E-03
G1331,0.243,0.504,0.1135,0.0068,1,4.58E-03
G1332,0.243,0.503,0.1117,0.0067,1,4.58E-03
G1333,0.243,0.512,0.1125,0.0067,1,4.58E-03
G1334,0.243,0.497,0.113,0.0067,1,4.58E-03
G1335,0.243,0.51,0.1107,0.0066,1,4.58E-03
G1336,0.243,0.489,0.1089,0.0065,1,4.58E-03
G1337,0.243,0.502,0.1126,0.0067,1,4.58E-03
G1338,0.243,0.503,0.1115,0.0066,1,4.58E-03
G1339,0.243,0.505,0.1089,0.0065,1,4.58E-03
G1340,0.243,0.505,0.111,0.0066,1,4.58E-03
G1341,0.243,0.504,0.1111,0.0066,1,4.58E-03
G1342,0.243,0.492,0.1129,0.0067,1,4.58E-03
G1343,0.243,0.504,0.1124,0.0067,1,4.58E-03
G1344,0.243,0.506,0.1124,0.0067,1,4.58E-03
G1345,0.243,0.487,0.1105,0.0066,1,4.58E-03
G1346,0.243,0.503,0.1088,0.0065,1,4.58E-03
G1347,0.243,0.494,0.1152,0.0069,1,4.58E-03
G1348,0.243,0.496,0.1105,0.0066,1,4.58E-03
G1349,0.243,0.493,0.1105,0.0066,1,4.58E-03
G1350,0.243,0.517,0.1122,0.0067,1,4.58E-03
G1351,0.243,0.501,0.1133,0.0068,1,4.58E-03
G1352,0.243,0.491,0.1123,0.0067,1,4.58E-03
G1353,0.243,0.5,0.1139,0.0068,1,4.58E-03
G1354,0.243,0.507,0.1109,0.0066,1,4.58E-03
