Net,Total Net Load,Static Prob.,Toggle rate,Switching Power,Class,RC
and1,0.243,0.028,0.0004,2.55E-05,0,1.22E-01
AO,1.203,0.172,0.0024,0.0007,0,1.12E-01
CO,0.243,0,0,0,0,4.58E-03
I1_2,1.203,0.02,0.0051,0.0015,0,1.12E-01
I1_3,1.203,0,0,0,0,1.12E-01
I1_4,0.863,0,0,0,0,5.76E-02
I105_1,0.243,0.001,0.0003,1.82E-05,0,4.58E-03
I105_2,0.863,0.996,6.10E-05,1.29E-05,0,5.76E-02
I105_3,0.243,0.995,0.0002,1.46E-05,0,4.58E-03
I105_4,0.243,0,0,0,0,4.58E-03
I110,0.243,0,0,0,0,4.58E-03
I111,0.243,0,0,0,0,4.58E-03
I112,0.243,0.005,0.0002,1.46E-05,0,4.58E-03
I113,0.243,0.361,0.004,0.0002,0,4.58E-03
I12,0.243,0.419,0.0125,0.0007,0,4.58E-03
I13,0.243,0.466,0.0269,0.0016,0,4.58E-03
I14,0.243,0.5,0.0579,0.0035,0,4.58E-03
I147,0.544,1,0,0,0,2.29E-02
I15,0.243,0.513,0.1186,0.0071,0,4.58E-03
I160,0.243,1,0,0,0,4.58E-03
I162,0.863,1,0,0,0,5.76E-02
I164,0.544,0.999,0.0003,4.06E-05,0,2.29E-02
I167,0.544,0,0,0,0,2.29E-02
I168_1,0.243,1,0,0,0,4.58E-03
I171_1,0.544,1,0,0,0,2.29E-02
I171_2,1.565,1,0,0,0,1.89E-01
I171_3,0.243,0,0,0,0,4.58E-03
I171_4,0.243,0,0,0,0,4.58E-03
I186_1,0.863,0.656,0.001,0.0002,0,5.76E-02
I186_2,0.863,0.98,0.0051,0.0011,0,5.76E-02
I186_3,0.243,0.342,0.0012,7.28E-05,0,4.58E-03
I186_4,0.243,0.019,0.0048,0.0003,0,4.58E-03
I193_1,0.243,1,0,0,0,4.58E-03
I2_1,0.243,0.038,0.0021,0.0001,0,4.58E-03
I2_2,0.243,0,0,0,0,4.58E-03
I2_3,0.243,0,0,0,0,4.58E-03
I203_1,0.243,0,0,0,0,4.58E-03
I203_2,0.863,1,0,0,0,5.76E-02
I203_3,0.243,1,0,0,0,4.58E-03
I203_4,0.243,0,0,0,0,4.58E-03
I208,0.243,0,0,0,0,4.58E-03
I209,0.243,0,0,0,0,4.58E-03
I210,0.243,0,0,0,0,4.58E-03
I211,0.243,0,0,0,0,4.58E-03
I245,0.544,1,0,0,0,2.29E-02
I258,0.243,1,0,0,0,4.58E-03
I260,0.863,1,0,0,0,5.76E-02
I262,0.544,1,0,0,0,2.29E-02
I265,0.544,0,0,0,0,4.58E-03
I266_1,0.243,1,0,0,0,4.58E-03
I269_1,0.544,1,0,0,0,2.29E-02
I269_2,1.565,1,0,0,0,1.89E-01
I269_3,0.243,0,0,0,0,4.58E-03
I269_4,0.243,0,0,0,0,4.58E-03
I284_1,0.863,1,0,0,0,5.76E-02
I284_2,0.863,1,0,0,0,5.76E-02
I284_3,0.243,0,0,0,0,4.58E-03
I284_4,0.243,0,0,0,0,4.58E-03
I291_1,0.243,1,0,0,0,4.58E-03
I301_1,0.863,0,0,0,0,5.76E-02
I301_2,1.203,1,0,0,0,1.12E-01
I301_3,0.243,1,0,0,0,4.58E-03
I301_4,0.243,0,0,0,0,4.58E-03
I306,0.243,0,0,0,0,4.58E-03
I307,0.243,0,0,0,0,4.58E-03
I308,0.243,0,0,0,0,4.58E-03
I309,0.243,0,0,0,0,4.58E-03
I344,1.203,1,0,0,0,1.12E-01
I355,0.243,1,0,0,0,4.58E-03
I357,0.243,1,0,0,0,4.58E-03
I358,0.243,0,0,0,0,4.58E-03
I359,0.863,1,0,0,0,5.76E-02
I361,0.544,1,0,0,0,2.29E-02
I363_1,0.243,1,0,0,0,4.58E-03
I366_1,0.243,1,0,0,0,4.58E-03
I378_1,0.863,1,0,0,0,5.76E-02
I378_2,0.243,1,0,0,0,4.58E-03
I378_3,0.243,0,0,0,0,4.58E-03
I378_4,0.243,0,0,0,0,4.58E-03
I384_1,0.243,1,0,0,0,4.58E-03
I387_1,0.243,0,0,0,0,4.58E-03
I403_2,0.243,0.179,0.0364,0.0022,0,4.58E-03
I403_3,0.243,0,0,0,0,4.58E-03
I403_4,0.243,0,0,0,0,4.58E-03
I404_2,0.243,0.003,0.0003,2.00E-05,0,4.58E-03
I404_3,0.243,0,0,0,0,4.58E-03
I404_4,0.243,0,0,0,0,4.58E-03
I405_2,0.243,0,0,0,0,4.58E-03
I405_3,0.243,0,0,0,0,4.58E-03
I405_4,0.243,0,0,0,0,4.58E-03
I406_2,0.243,0,0,0,0,4.58E-03
I406_3,0.243,0,0,0,0,4.58E-03
I406_4,0.243,0,0,0,0,4.58E-03
I407_1,1.565,0.081,0.003,0.0012,0,1.89E-01
I407_2,0.243,0.653,0.001,5.82E-05,0,4.58E-03
I407_3,0.243,1,0,0,0,4.58E-03
I408_2,1.565,0.034,0.001,0.0004,0,1.89E-01
I408_3,1.203,0.034,0.001,0.0003,0,1.12E-01
I420,0.544,0.871,0.0363,0.0048,0,2.29E-02
I422,0.544,0.734,0.0733,0.0098,0,2.29E-02
I423,0.243,0.266,0.0733,0.0044,0,4.58E-03
I448,0.544,0.68,0.0613,0.0082,0,2.29E-02
I450,0.544,0.677,0.0616,0.0082,0,2.29E-02
I451,0.243,0.323,0.0616,0.0037,0,4.58E-03
I476,0.544,0.498,0.0961,0.0128,0,2.29E-02
I478,0.544,0.498,0.0961,0.0128,0,2.29E-02
I479,0.243,0.502,0.0961,0.0057,0,4.58E-03
I49,0.544,0.594,0.0027,0.0004,0,2.29E-02
I494,2.362,0.5,0.1,0.0579,0,4.32E-01
I498,0.243,1,0,0,0,4.58E-03
I503,0.544,0.498,0.0961,0.0128,0,2.29E-02
I505,0.544,0.498,0.0961,0.0128,0,2.29E-02
I506,0.243,0.502,0.0961,0.0057,0,4.58E-03
I533_1,0.243,0.355,0.1219,0.0073,0,4.58E-03
I533_2,0.243,0.029,0.0136,0.0008,0,4.58E-03
I533_3,0.243,0,0,0,0,4.58E-03
I533_4,0.243,0,0,0,0,4.58E-03
I534_2,0.243,0.37,0.1245,0.0074,0,4.58E-03
I534_3,0.243,0.37,0.1245,0.0074,0,4.58E-03
I534_4,0.243,0.37,0.1245,0.0074,0,4.58E-03
I534_5,0.243,0,0,0,0,4.58E-03
I546,0.243,0.863,0.037,0.0022,0,4.58E-03
I547,0.243,0.944,0.0165,0.001,0,4.58E-03
I550,0.243,0.5,0.1,0.006,0,4.58E-03
I551,0.243,0.5,0.1,0.006,0,4.58E-03
I554,0.243,0.693,0.1145,0.0068,0,4.58E-03
I555_1,0.243,0.972,0.0127,0.0008,0,4.58E-03
I555_2,0.243,0.933,0.0307,0.0018,0,4.58E-03
I559_1,0.243,0.114,0.058,0.0035,0,4.58E-03
I559_2,0.243,0.25,0.098,0.0058,0,4.58E-03
I570,0.243,0.998,0.0002,1.09E-05,0,4.58E-03
I571,0.243,1,0,0,0,4.58E-03
I574,0.243,0.5,0.1,0.006,0,4.58E-03
I575,0.243,0.5,0.1,0.006,0,4.58E-03
I578,0.243,0.972,0.0135,0.0008,0,4.58E-03
I579_1,0.243,1,0,0,0,4.58E-03
I579_2,0.243,0.999,0.0002,1.09E-05,0,4.58E-03
I583_1,0.243,0.012,0.0054,0.0003,0,4.58E-03
I583_2,0.243,0.016,0.008,0.0005,0,4.58E-03
I594,0.243,1,0,0,0,4.58E-03
I595,0.243,1,0,0,0,4.58E-03
I598,0.243,0.5,0.1,0.006,0,4.58E-03
I599,0.243,0.5,0.1,0.006,0,4.58E-03
I602,0.243,1,0,0,0,4.58E-03
I603_1,0.243,1,0,0,0,4.58E-03
I603_2,0.243,1,0,0,0,4.58E-03
I607_1,0.243,0,0,0,0,4.58E-03
I607_2,0.243,0,0,0,0,4.58E-03
I618,0.243,1,0,0,0,4.58E-03
I619,0.243,1,0,0,0,4.58E-03
I62,0.243,0.614,0.0056,0.0003,0,4.58E-03
I622,0.243,0.5,0.1,0.006,0,4.58E-03
